,index,algo,cell,dset,measure,rel value,split,value
320,0,ringach,0.0,5,corr,0.08152980108733632,test,0.42356130734672154
321,1,ringach,1.0,5,corr,0.05592361433259452,test,0.4431052184487964
322,2,ringach,2.0,5,corr,0.011055797668903355,test,0.41815484220899596
323,3,ringach,3.0,5,corr,-0.0031339771395913485,test,0.4329270191056864
324,4,ringach,4.0,5,corr,0.04387008598740888,test,0.44641280277192036
325,5,ringach,5.0,5,corr,-0.05480204224421359,test,0.06404851394874872
326,6,ringach,6.0,5,corr,0.07580556093237592,test,0.30714155777925994
327,7,ringach,7.0,5,corr,0.041064095598905476,test,0.25735661288630785
328,0,rupprecht,0.0,5,corr,0.15859580295387782,test,0.500627309213263
329,1,rupprecht,1.0,5,corr,0.10384814840074164,test,0.49102975251694353
330,2,rupprecht,2.0,5,corr,0.0378957577606131,test,0.4449948023007057
331,3,rupprecht,3.0,5,corr,0.06918752221300994,test,0.5052485184582877
332,4,rupprecht,4.0,5,corr,0.10300176608233547,test,0.505544482866847
333,5,rupprecht,5.0,5,corr,0.07939988194850087,test,0.19825043814146318
334,6,rupprecht,6.0,5,corr,0.30455646299858563,test,0.5358924598454696
335,7,rupprecht,7.0,5,corr,0.12599526912095307,test,0.34228778640835544
336,0,speiser,0.0,5,corr,0.19012315560752852,test,0.5321546618669137
337,1,speiser,1.0,5,corr,0.10616444855440177,test,0.49334605267060366
338,2,speiser,2.0,5,corr,0.026056117707419557,test,0.43315516224751216
339,3,speiser,3.0,5,corr,0.007679528245446321,test,0.44374052449072404
340,4,speiser,4.0,5,corr,0.08915111983323087,test,0.49169383661774235
341,5,speiser,5.0,5,corr,0.0567550807042351,test,0.1756056368971974
342,6,speiser,6.0,5,corr,0.08458096564655507,test,0.3159169624934391
343,7,speiser,7.0,5,corr,0.22533299992485453,test,0.4416255172122569
344,0,oopsi,0.0,5,corr,-0.18684123538185793,test,0.1551902708775273
345,1,oopsi,1.0,5,corr,-0.18151766311432557,test,0.20566394100187632
346,2,oopsi,2.0,5,corr,-0.1400839465190743,test,0.2670150980210183
347,3,oopsi,3.0,5,corr,-0.1965423148890079,test,0.23951868135626983
348,4,oopsi,4.0,5,corr,-0.12453873738860055,test,0.2780039793959109
349,5,oopsi,5.0,5,corr,-0.030351160621254786,test,0.08849939557170752
350,6,oopsi,6.0,5,corr,-0.06386743981155993,test,0.1674685570353241
351,7,oopsi,7.0,5,corr,-0.19104066720788898,test,0.025251850079513378
352,0,stm,0.0,1,corr,,train,0.5104339511577102
353,1,stm,1.0,1,corr,,train,0.42153689246082116
354,2,stm,2.0,1,corr,,train,0.46233545047880953
355,3,stm,3.0,1,corr,,train,0.42375398968811745
356,4,stm,4.0,1,corr,,train,0.5194271186441172
357,5,stm,5.0,1,corr,,train,0.5059462901570091
358,6,stm,6.0,1,corr,,train,0.4976898768925183
359,7,stm,7.0,1,corr,,train,0.5259196014421482
