,index,algo,cell,dset,measure,split,value
498,8,pachitariu,8,2,corr_bits,test,2.0887059271613397
499,9,pachitariu,9,2,corr_bits,test,0.33882104173279465
500,0,pachitariu,0,2,rank,test,0.40202531474589437
501,1,pachitariu,1,2,rank,test,0.4352580475589339
502,2,pachitariu,2,2,rank,test,0.5473087597513069
503,3,pachitariu,3,2,rank,test,0.7995079215068376
504,4,pachitariu,4,2,rank,test,0.3453776768431541
505,5,pachitariu,5,2,rank,test,0.33577460603369796
506,6,pachitariu,6,2,rank,test,0.5143988737032599
507,7,pachitariu,7,2,rank,test,0.5152330467015322
508,8,pachitariu,8,2,rank,test,0.5210225892494785
509,9,pachitariu,9,2,rank,test,0.14912159043340772
510,0,pachitariu,0,2,auc,test,0.7097441704115213
511,1,pachitariu,1,2,auc,test,0.9318951712244397
512,2,pachitariu,2,2,auc,test,0.9325916336799513
513,3,pachitariu,3,2,auc,test,0.9015981280493877
514,4,pachitariu,4,2,auc,test,0.8719840510366826
515,5,pachitariu,5,2,auc,test,0.6601298457092526
